Date,Time,Location,Latitude,Longitude,Vehicle_Type,Weather,Road_Type,Severity,Day_of_Week,Month,Hour,Is_Fatal
2024-11-23,09:46,Pollachi Road,10.97730147112835,76.87883785851956,Truck,Clear,National Highway,Minor,Saturday,November,9,0
2024-02-27,06:47,Cross Cut Road,10.995739362870546,76.91391524307788,Two-Wheeler,Clear,City Roads,Serious,Tuesday,February,6,0
2024-01-13,17:11,Karamadai,10.990980242616294,76.8946806888928,Two-Wheeler,Clear,State Highway,Minor,Saturday,January,17,0
2024-05-20,08:30,Avinashi Road,11.110411562091448,76.97293727848636,Auto-Rickshaw,Rain,State Highway,Serious,Monday,May,8,0
2024-05-05,11:48,Sathy Road,11.02871207772661,77.00890654693828,Two-Wheeler,Clear,State Highway,Minor,Sunday,May,11,0
2024-04-24,16:06,Pollachi Road,11.032897381978291,76.86458096517221,Two-Wheeler,Rain,State Highway,Serious,Wednesday,April,16,0
2024-03-12,19:14,Peelamedu,10.968858330431381,76.86173711465466,Two-Wheeler,Clear,State Highway,Fatal,Tuesday,March,19,1
2024-02-22,10:00,Brookefields,11.01754934436804,76.89536499887123,Truck,Clear,National Highway,Minor,Thursday,February,10,0
2024-12-12,18:17,Trichy Road,11.102865388231242,76.89062932182989,Two-Wheeler,Cloudy,State Highway,Fatal,Thursday,December,18,1
2024-10-06,00:35,Race Course Road,11.092379350394136,77.03287644591033,Truck,Clear,National Highway,Minor,Sunday,October,0,0
2024-02-14,09:40,Karamadai,10.943183906736445,76.99956733478052,Truck,Clear,City Roads,Serious,Wednesday,February,9,0
2024-10-29,19:06,Karamadai,10.980263477358603,76.9237634986036,Two-Wheeler,Rain,State Highway,Serious,Tuesday,October,19,0
2024-08-04,20:18,Pollachi Road,11.02288476017852,76.96670099103147,Car/SUV,Rain,State Highway,Serious,Sunday,August,20,0
2024-01-17,13:21,Peelamedu,10.945159146804222,76.8915082861602,Two-Wheeler,Clear,Village Roads,Serious,Wednesday,January,13,0
2024-01-16,06:16,Karanampettai,10.940168411232932,76.86009840561162,Two-Wheeler,Rain,State Highway,Serious,Tuesday,January,6,0
2024-02-17,22:07,Singanallur,10.925632432297641,77.02437628414302,Truck,Clear,State Highway,Minor,Saturday,February,22,0
2024-04-21,19:31,Brookefields,10.942374298946874,77.03792979003964,Two-Wheeler,Clear,State Highway,Fatal,Sunday,April,19,1
2024-04-29,05:43,Race Course Road,11.091135911830323,76.85999875209248,Truck,Clear,Village Roads,Minor,Monday,April,5,0
2024-09-15,01:51,Mettupalayam Road,11.083760807563365,76.9912904757995,Bus,Fog,National Highway,Fatal,Sunday,September,1,1
2024-11-04,16:05,Karanampettai,11.066364673543859,76.93158455158303,Pedestrian,Clear,State Highway,Fatal,Monday,November,16,1
2024-01-14,21:35,Race Course Road,11.102047408494482,77.01328281610759,Two-Wheeler,Clear,State Highway,Minor,Sunday,January,21,0
2024-10-14,20:38,Sathy Road,10.973385101638426,76.87799380190727,Two-Wheeler,Clear,State Highway,Minor,Monday,October,20,0
2024-04-11,18:49,Sathy Road,11.092187277101303,77.04302282083367,Two-Wheeler,Rain,State Highway,Serious,Thursday,April,18,0
2024-11-28,16:58,Peelamedu,11.039386314126236,76.91681447560818,Two-Wheeler,Clear,State Highway,Serious,Thursday,November,16,0
2024-12-25,14:27,Race Course Road,11.069112783787723,76.9038299865747,Truck,Clear,State Highway,Minor,Wednesday,December,14,0
2024-10-06,11:03,Singanallur,10.969551588101645,77.01769755405836,Two-Wheeler,Clear,State Highway,Fatal,Sunday,October,11,1
2024-08-02,17:06,Avinashi Road,10.97940206317272,76.98798174304271,Two-Wheeler,Clear,State Highway,Minor,Friday,August,17,0
2024-04-22,21:40,Karanampettai,11.09533436196593,77.0440323511346,Auto-Rickshaw,Clear,State Highway,Minor,Monday,April,21,0
2024-08-17,11:05,Mettupalayam Road,10.979908583892687,77.0512203692064,Two-Wheeler,Clear,State Highway,Minor,Saturday,August,11,0
2024-10-28,06:35,Brookefields,11.115713013177029,77.05533898284317,Truck,Rain,National Highway,Minor,Monday,October,6,0
2024-05-22,00:26,Mettupalayam Road,11.069535082730726,77.03213275901335,Truck,Cloudy,State Highway,Fatal,Wednesday,May,0,1
2024-01-04,14:30,Trichy Road,10.947052949231379,77.03147756728968,Two-Wheeler,Clear,State Highway,Fatal,Thursday,January,14,1
2024-03-22,09:18,Pollachi Road,11.08740673225351,76.8688755038835,Pedestrian,Fog,State Highway,Fatal,Friday,March,9,1
2024-12-23,20:55,Gandhipuram,11.04828389553525,76.88468644916225,Two-Wheeler,Clear,State Highway,Serious,Monday,December,20,0
2024-08-04,14:14,Singanallur,11.076444036650642,77.0406310934466,Car/SUV,Clear,State Highway,Serious,Sunday,August,14,0
2024-06-23,23:37,Karanampettai,10.927444437654197,77.01477962330227,Two-Wheeler,Clear,National Highway,Serious,Sunday,June,23,0
2024-05-22,15:27,Avinashi Road,10.946524161408197,76.89413625843011,Truck,Clear,City Roads,Fatal,Wednesday,May,15,1
2024-03-20,06:41,Brookefields,10.962772109113844,76.9314391058778,Two-Wheeler,Clear,State Highway,Minor,Wednesday,March,6,0
2024-04-20,07:52,Sathy Road,10.923972449633848,76.93065106038742,Truck,Rain,State Highway,Serious,Saturday,April,7,0
2024-06-21,06:10,Gandhipuram,10.968844792717032,76.97570983252159,Car/SUV,Clear,State Highway,Serious,Friday,June,6,0
2024-02-22,20:47,Mettupalayam Road,11.05799257251491,77.0511963080587,Two-Wheeler,Rain,City Roads,Minor,Thursday,February,20,0
2024-02-17,19:28,Gandhipuram,11.004085973304546,76.9047099277869,Two-Wheeler,Clear,City Roads,Serious,Saturday,February,19,0
2024-07-13,08:19,Karanampettai,11.115840348671638,76.86503903847199,Truck,Clear,State Highway,Minor,Saturday,July,8,0
2024-02-19,19:32,Peelamedu,11.10224126822786,76.9790056015541,Auto-Rickshaw,Cloudy,State Highway,Serious,Monday,February,19,0
2024-07-02,16:05,Brookefields,10.924958341708063,76.89362043286329,Two-Wheeler,Clear,State Highway,Minor,Tuesday,July,16,0
2024-06-25,16:47,Thudiyalur,10.988104023249177,76.96289366842237,Two-Wheeler,Clear,State Highway,Serious,Tuesday,June,16,0
2024-11-05,10:01,Karamadai,11.058605828453384,77.01371755787814,Truck,Clear,State Highway,Fatal,Tuesday,November,10,1
2024-05-15,08:53,Brookefields,11.01383990289235,76.92133612090225,Car/SUV,Rain,State Highway,Fatal,Wednesday,May,8,1
2024-01-23,20:01,Race Course Road,11.0153977100022,76.86645179501393,Two-Wheeler,Clear,State Highway,Minor,Tuesday,January,20,0
2024-08-23,23:52,Pollachi Road,11.085967670189982,77.01492238401185,Pedestrian,Clear,State Highway,Serious,Friday,August,23,0
2024-10-01,09:48,Thudiyalur,11.090175860077222,77.03037029838332,Two-Wheeler,Clear,State Highway,Fatal,Tuesday,October,9,1
2024-03-04,19:33,Cross Cut Road,10.94153084680677,77.02610052767436,Two-Wheeler,Clear,State Highway,Serious,Monday,March,19,0
2024-07-12,16:11,Sathy Road,10.935515575640997,77.04947686150086,Two-Wheeler,Clear,State Highway,Serious,Friday,July,16,0
2024-02-10,22:40,Pollachi Road,11.090434621924336,77.032966857554,Two-Wheeler,Clear,National Highway,Serious,Saturday,February,22,0
2024-10-09,18:30,Peelamedu,10.95293099282228,76.89764751469984,Car/SUV,Rain,State Highway,Fatal,Wednesday,October,18,1
2024-05-30,10:20,Karamadai,10.950459000322128,76.87208154037097,Car/SUV,Clear,State Highway,Minor,Thursday,May,10,0
2024-11-17,18:21,Periyanaickenpalayam,11.01854755278613,76.94993345872014,Car/SUV,Cloudy,State Highway,Minor,Sunday,November,18,0
2024-11-12,13:18,Periyanaickenpalayam,10.971358310751986,76.98850043971372,Truck,Clear,State Highway,Serious,Tuesday,November,13,0
2024-07-04,16:52,Mettupalayam Road,11.094978904448654,76.86877460819397,Truck,Clear,State Highway,Minor,Thursday,July,16,0
2024-10-22,18:29,Karanampettai,11.033935480362768,76.95752276107686,Bus,Clear,National Highway,Minor,Tuesday,October,18,0
2024-04-08,07:20,Mettupalayam Road,11.033509478196509,77.00606160759094,Truck,Rain,City Roads,Fatal,Monday,April,7,1
2024-12-26,07:55,Periyanaickenpalayam,11.111125470930524,76.98481431285013,Two-Wheeler,Rain,National Highway,Minor,Thursday,December,7,0
