Accident_ID,Date,Time,State,City,Latitude,Longitude,Weather_Condition,Vehicle_Type,Severity,Fatalities,Injuries,Day_of_Week,Month,Source
MORTH23-10000,2023-07-01,15:54,Kerala,Kochi,9.90535,76.2785,Clear,Car/Jeep/Van,Low,0,0,Saturday,July,MoRTH_Standardized_v2.1
MORTH23-10001,2023-04-07,09:51,Delhi/NCR,Kolkata,22.59916,88.33732,Rainy,Two-Wheeler,High,0,4,Friday,April,MoRTH_Standardized_v2.1
MORTH23-10002,2023-01-10,09:15,Andhra Pradesh,Visakhapatnam,17.68906,83.22324,Clear,Two-Wheeler,High,0,1,Tuesday,January,MoRTH_Standardized_v2.1
MORTH23-10003,2023-12-14,12:02,Delhi/NCR,Delhi,28.59666,77.28291,Clear,Two-Wheeler,Medium,0,1,Thursday,December,MoRTH_Standardized_v2.1
MORTH23-10004,2023-03-26,14:33,Delhi/NCR,Guwahati,26.12321,91.74448,Clear,Others,Low,0,1,Sunday,March,MoRTH_Standardized_v2.1
MORTH23-10005,2023-02-09,18:22,Kerala,Kochi,9.95982,76.30704,Clear,Car/Jeep/Van,Low,0,2,Thursday,February,MoRTH_Standardized_v2.1
MORTH23-10006,2023-10-22,03:35,Maharashtra,Pune,18.4721,73.84136,Clear,Bus,High,0,4,Sunday,October,MoRTH_Standardized_v2.1
MORTH23-10007,2023-05-25,23:39,Madhya Pradesh,Bhopal,23.24889,77.40467,Clear,Two-Wheeler,High,0,3,Thursday,May,MoRTH_Standardized_v2.1
MORTH23-10008,2023-03-12,06:11,Madhya Pradesh,Gwalior,26.2232,78.26733,Clear,Truck/Lorry,Low,0,2,Sunday,March,MoRTH_Standardized_v2.1
MORTH23-10009,2023-09-13,13:58,Andhra Pradesh,Vijayawada,16.52489,80.61328,Cloudy,Truck/Lorry,Low,0,2,Wednesday,September,MoRTH_Standardized_v2.1
MORTH23-10010,2023-02-25,18:41,Delhi/NCR,Guwahati,26.13191,91.75311,Clear,Car/Jeep/Van,Low,0,1,Saturday,February,MoRTH_Standardized_v2.1
MORTH23-10011,2023-04-04,00:15,Tamil Nadu,Madurai,9.9487,78.13441,Clear,Two-Wheeler,Critical,3,6,Tuesday,April,MoRTH_Standardized_v2.1
MORTH23-10012,2023-02-13,13:29,Tamil Nadu,Coimbatore,11.05797,76.90872,Clear,Car/Jeep/Van,Low,0,0,Monday,February,MoRTH_Standardized_v2.1
MORTH23-10013,2023-04-30,15:52,Tamil Nadu,Coimbatore,11.00341,76.94799,Clear,Auto-Rickshaw,Low,0,0,Sunday,April,MoRTH_Standardized_v2.1
MORTH23-10014,2023-12-15,14:56,Uttar Pradesh,Kanpur,26.44567,80.35318,Clear,Car/Jeep/Van,Low,0,1,Friday,December,MoRTH_Standardized_v2.1
MORTH23-10015,2023-05-03,12:29,Maharashtra,Pune,18.48289,73.87917,Clear,Two-Wheeler,Medium,0,1,Wednesday,May,MoRTH_Standardized_v2.1
MORTH23-10016,2023-04-28,18:14,Tamil Nadu,Coimbatore,10.96747,76.97436,Clear,Others,Low,0,0,Friday,April,MoRTH_Standardized_v2.1
MORTH23-10017,2023-06-16,17:00,Delhi/NCR,Delhi,28.5957,77.19607,Clear,Others,Low,0,1,Friday,June,MoRTH_Standardized_v2.1
MORTH23-10018,2023-12-06,13:44,Delhi/NCR,Delhi,28.60806,77.21601,Foggy,Two-Wheeler,Critical,1,5,Wednesday,December,MoRTH_Standardized_v2.1
MORTH23-10019,2023-01-12,21:57,Tamil Nadu,Coimbatore,10.9788,76.91142,Clear,Auto-Rickshaw,Low,0,1,Thursday,January,MoRTH_Standardized_v2.1
MORTH23-10020,2023-01-06,20:52,Gujarat,Ahmedabad,23.0341,72.54087,Clear,Two-Wheeler,Medium,0,2,Friday,January,MoRTH_Standardized_v2.1
MORTH23-10021,2023-10-06,08:13,Tamil Nadu,Coimbatore,11.03159,76.93899,Clear,Two-Wheeler,Medium,0,1,Friday,October,MoRTH_Standardized_v2.1
MORTH23-10022,2023-05-29,15:13,Karnataka,Bangalore,12.98909,77.6576,Clear,Car/Jeep/Van,Low,0,1,Monday,May,MoRTH_Standardized_v2.1
MORTH23-10023,2023-01-21,16:18,Maharashtra,Nagpur,21.13181,79.11493,Clear,Two-Wheeler,High,0,3,Saturday,January,MoRTH_Standardized_v2.1
MORTH23-10024,2023-05-04,18:44,Tamil Nadu,Madurai,9.93979,78.08065,Clear,Two-Wheeler,Medium,0,0,Thursday,May,MoRTH_Standardized_v2.1
MORTH23-10025,2023-10-25,19:54,Telangana,Warangal,17.9856,79.58011,Clear,Two-Wheeler,High,0,4,Wednesday,October,MoRTH_Standardized_v2.1
MORTH23-10026,2023-03-26,17:53,Tamil Nadu,Coimbatore,10.97213,76.96164,Clear,Two-Wheeler,Medium,0,2,Sunday,March,MoRTH_Standardized_v2.1
MORTH23-10027,2023-04-05,08:30,Delhi/NCR,Kolkata,22.55434,88.316,Clear,Two-Wheeler,High,1,2,Wednesday,April,MoRTH_Standardized_v2.1
MORTH23-10028,2023-04-12,19:05,Uttar Pradesh,Kanpur,26.49899,80.33574,Clear,Bus,Low,0,2,Wednesday,April,MoRTH_Standardized_v2.1
MORTH23-10029,2023-09-06,17:27,Maharashtra,Nagpur,21.13203,79.12365,Foggy,Car/Jeep/Van,Medium,0,2,Wednesday,September,MoRTH_Standardized_v2.1
MORTH23-10030,2023-08-01,17:06,Andhra Pradesh,Visakhapatnam,17.71486,83.19958,Clear,Truck/Lorry,Medium,0,1,Tuesday,August,MoRTH_Standardized_v2.1
MORTH23-10031,2023-02-28,12:57,Delhi/NCR,Guwahati,26.17641,91.72214,Clear,Two-Wheeler,Medium,0,1,Tuesday,February,MoRTH_Standardized_v2.1
MORTH23-10032,2023-08-17,20:19,Madhya Pradesh,Indore,22.72571,75.86936,Clear,Two-Wheeler,Medium,0,0,Thursday,August,MoRTH_Standardized_v2.1
MORTH23-10033,2023-10-13,21:03,Delhi/NCR,Delhi,28.58174,77.15882,Clear,Bus,Low,0,2,Friday,October,MoRTH_Standardized_v2.1
MORTH23-10034,2023-02-26,21:29,Tamil Nadu,Madurai,9.90183,78.15222,Foggy,Two-Wheeler,High,0,4,Sunday,February,MoRTH_Standardized_v2.1
MORTH23-10035,2023-01-07,21:05,Uttar Pradesh,Agra,27.12625,77.9804,Clear,Others,Low,0,0,Saturday,January,MoRTH_Standardized_v2.1
MORTH23-10036,2023-09-30,05:30,Delhi/NCR,Guwahati,26.14312,91.69758,Clear,Two-Wheeler,Medium,0,0,Saturday,September,MoRTH_Standardized_v2.1
MORTH23-10037,2023-10-06,15:57,Delhi/NCR,Kolkata,22.5569,88.37488,Foggy,Truck/Lorry,High,1,4,Friday,October,MoRTH_Standardized_v2.1
MORTH23-10038,2023-03-24,06:21,Tamil Nadu,Chennai,13.14866,80.32344,Clear,Truck/Lorry,Medium,0,1,Friday,March,MoRTH_Standardized_v2.1
MORTH23-10039,2023-02-27,18:19,Karnataka,Bangalore,12.94481,77.56688,Clear,Bus,Low,0,0,Monday,February,MoRTH_Standardized_v2.1
MORTH23-10040,2023-07-07,19:02,Maharashtra,Nagpur,21.1591,79.09805,Clear,Auto-Rickshaw,Low,0,0,Friday,July,MoRTH_Standardized_v2.1
MORTH23-10041,2023-05-19,03:02,Tamil Nadu,Madurai,9.91897,78.05097,Clear,Truck/Lorry,Critical,3,6,Friday,May,MoRTH_Standardized_v2.1
MORTH23-10042,2023-05-09,15:40,Tamil Nadu,Madurai,9.86961,78.06368,Clear,Car/Jeep/Van,Low,0,0,Tuesday,May,MoRTH_Standardized_v2.1
MORTH23-10043,2023-07-31,19:37,Andhra Pradesh,Vijayawada,16.53103,80.60124,Clear,Two-Wheeler,Medium,0,1,Monday,July,MoRTH_Standardized_v2.1
MORTH23-10044,2023-01-13,03:01,Andhra Pradesh,Visakhapatnam,17.70449,83.17513,Clear,Truck/Lorry,Medium,0,2,Friday,January,MoRTH_Standardized_v2.1
